"","id","sales","price","brand","feat"
"151",23,10177,1.69,"dominicks",0
"152",9222,15169,2.6,"tropicana",1
"153",7125,46528,1.55,"dominicks",0
"154",8147,24575,1.79,"dominicks",1
"155",1203,65215,2.05,"minute.maid",1
"156",2875,6848,2.63,"tropicana",0
"158",10103,4480,2.97,"tropicana",0
"160",8495,6335,3.25,"tropicana",0
"161",1116,2368,2.69,"minute.maid",0
"162",24,7873,2.04,"minute.maid",1
"164",10095,17343,1.59,"dominicks",0
"165",10605,10816,3.29,"tropicana",0
"166",7490,17408,2.54,"minute.maid",0
"167",1793,18366,2.43,"minute.maid",0
"168",2511,15423,1.3,"dominicks",0
"171",7727,4736,2.39,"dominicks",0
"172",249,4864,2.03,"minute.maid",0
"173",12733,3391,1.96,"dominicks",0
"175",6015,4224,1.93,"dominicks",0
"176",7196,40514,1.33,"dominicks",1
"177",11941,94464,1.96,"tropicana",1
"178",2535,5762,1.97,"minute.maid",0
"179",743,15680,1.95,"dominicks",1
"180",3730,37632,1.5,"minute.maid",0
"181",12431,9088,3.27,"tropicana",1
"182",12731,3520,2.17,"minute.maid",0
"183",9837,5440,3.09,"minute.maid",0
"184",137,34050,1.92,"minute.maid",1
"185",3115,20096,1.79,"minute.maid",1
"186",1841,6975,1.51,"dominicks",0
"187",2991,6784,3.01,"tropicana",0
"188",7969,101248,1.58,"minute.maid",0
"189",2762,8706,2.9,"tropicana",0
"190",8475,8128,2.51,"minute.maid",0
"191",1044,8385,2.6,"tropicana",0
"192",4257,9665,3.58,"tropicana",0
"194",10245,4736,3.65,"tropicana",0
"195",10629,7936,1.48,"dominicks",0
"196",6726,7424,NA,"dominicks",0
"197",8126,6847,1.77,"tropicana",0
"198",3736,1345,3.19,"tropicana",0
"199",11700,47360,0.95,"dominicks",1
"200",11841,832,NA,"dominicks",0
"201",7874,27263,2.55,"minute.maid",1
"202",12479,9150,1.6,"dominicks",0
"204",8676,6848,2.31,"tropicana",0
"205",6366,5569,2.7,"minute.maid",0
"207",8195,1535,2.72,"dominicks",0
"208",12034,7552,2.26,"dominicks",0
"209",99,63744,1.89,"minute.maid",1
"212",5337,7423,1.66,"dominicks",0
"213",3913,5313,1.43,"dominicks",0
"216",3917,26177,2.41,"tropicana",0
"218",1256,24768,1.83,"minute.maid",0
"219",3360,45634,2.53,"tropicana",1
"220",12806,7618,3.49,"tropicana",0
"221",5848,5952,2.85,"tropicana",0
"222",5257,7488,3.05,"tropicana",0
"223",9768,13569,1.89,"minute.maid",0
"224",3970,3329,1.52,"dominicks",0
"225",254,5056,1.98,"dominicks",0
"226",2316,5184,NA,"tropicana",0
"227",1121,9984,2.59,"minute.maid",0
"230",4535,5249,2.56,"minute.maid",0
"231",1710,25407,1.52,"dominicks",1
"233",4862,22912,1.89,"tropicana",1
"234",9101,22208,1.93,"minute.maid",1
"235",6713,2752,2.44,"dominicks",0
"236",10897,12673,NA,"dominicks",0
"238",1148,11710,1.81,"dominicks",0
"239",12161,88256,1.29,"minute.maid",1
"241",7968,19457,1.45,"dominicks",0
"242",7232,5058,2.49,"minute.maid",1
"243",6640,34304,2.33,"tropicana",1
"244",1936,14911,1.6,"dominicks",0
"245",7615,32830,1.45,"dominicks",1
"246",107,6784,3.71,"tropicana",0
"247",10278,47807,2.18,"minute.maid",1
"248",2210,8321,2.26,"minute.maid",0
"249",2911,4799,3.16,"tropicana",0
"251",6101,8064,1.64,"dominicks",0
"252",3561,7489,2.76,"tropicana",1
"253",10467,14273,1.82,"minute.maid",0
"254",5217,3842,1.85,"dominicks",0
"255",12067,29824,1.96,"minute.maid",1
"256",12839,641,2.74,"dominicks",0
"257",11033,10176,1.99,"minute.maid",0
"259",10737,9408,1.67,"minute.maid",0
"261",12376,2752,1.47,"dominicks",0
"262",9853,7617,3.7,"tropicana",0
"263",2844,1663,2.22,"dominicks",0
"264",4412,10560,3.58,"tropicana",0
"265",1943,25729,2.79,"tropicana",0
"266",5340,10880,2.2,"tropicana",0
"267",3413,11073,3.03,"tropicana",0
"268",11606,10882,2.64,"minute.maid",0
"269",7275,44609,2.23,"minute.maid",1
"270",9566,2561,2.81,"dominicks",0
"271",7609,4672,1.91,"dominicks",0
"272",10932,9535,1.99,"tropicana",0
"273",7906,2240,3.45,"minute.maid",0
"274",144,8384,3.24,"tropicana",0
"275",8580,3199,2,"minute.maid",0
"276",10697,4479,3.19,"tropicana",0
"277",5149,50240,1.96,"tropicana",0
"279",12304,29440,2.38,"minute.maid",1
"280",3815,7039,2.04,"dominicks",1
"282",12698,26303,2.39,"minute.maid",0
"284",8949,10238,3.15,"tropicana",0
"285",11876,4992,2,"dominicks",0
"286",2973,20032,1.81,"minute.maid",1
"287",12640,11328,2.31,"tropicana",0
"288",9049,7232,2.65,"minute.maid",0
"290",10881,25024,1.42,"dominicks",0
"291",8128,9661,1.71,"minute.maid",0
"292",9459,58878,1.19,"dominicks",1
"296",10127,10304,3.82,"tropicana",0
"297",12137,4287,1.6,"dominicks",0
"298",8065,2625,NA,"dominicks",0
"299",6717,20225,2.09,"minute.maid",1
"301",2856,3393,3.17,"minute.maid",0
"302",1415,37760,1.99,"tropicana",1
"304",4278,8512,1.97,"minute.maid",0
"305",11415,38721,2.09,"minute.maid",1
"307",1863,5441,3.41,"tropicana",0
"308",2087,14592,2.34,"minute.maid",0
"309",9835,198146,1.95,"minute.maid",1
"312",891,11521,1.96,"dominicks",0
"313",2016,20736,1.4,"dominicks",0
"314",1217,15872,3.35,"tropicana",0
"315",2347,4736,3.21,"tropicana",0
"316",7045,9216,2.38,"minute.maid",0
"317",1307,4800,1.4,"dominicks",0
"318",10872,6976,NA,"minute.maid",0
"319",3989,4095,2.18,"minute.maid",0
"320",6770,7808,2.2,"minute.maid",1
"321",3619,13696,1.58,"dominicks",0
"323",9164,4290,1.85,"dominicks",1
"324",6669,3137,3.31,"tropicana",0
"326",4752,1407,2.63,"dominicks",0
"327",4469,59712,2.11,"minute.maid",1
"328",2787,10241,2.43,"tropicana",0
"331",7374,13055,3.51,"tropicana",0
"335",11962,7361,2.42,"minute.maid",0
"336",12854,12670,2.37,"minute.maid",0
"337",147,1662,2.27,"dominicks",0
"338",1925,34111,1.7,"minute.maid",1
"339",5609,8063,2.85,"tropicana",0
"343",12359,5250,2.63,"tropicana",0
"345",392,4672,3.24,"minute.maid",0
"346",10609,26947,1.96,"minute.maid",1
"348",5,4927,3.05,"minute.maid",0
"349",1536,40000,2.48,"tropicana",1
"350",4230,10110,2.6,"tropicana",0
"351",5750,14144,1.31,"minute.maid",0
"352",7834,1855,2.28,"minute.maid",0
"353",7469,51840,1.95,"tropicana",0
"355",6530,5760,2.74,"tropicana",0
"356",10561,23104,1.59,"dominicks",1
"357",2682,22401,2,"minute.maid",1
"358",11251,166208,NA,"dominicks",0
"359",10726,5952,1.61,"tropicana",0
"360",12184,1663,1.7,"dominicks",1
"361",11229,4031,3.02,"tropicana",0
"363",5724,2622,2.73,"minute.maid",0
"364",1899,6080,2.68,"tropicana",0
"365",11842,77055,1.86,"tropicana",1
"366",4299,8514,2.22,"tropicana",0
"368",9236,21824,1.43,"dominicks",1
"369",12372,37632,2.02,"minute.maid",1
"370",5855,7552,1.45,"dominicks",0
"372",9558,32385,1.75,"dominicks",0
"373",1633,57857,2.36,"minute.maid",1
"374",9918,11905,1.99,"minute.maid",0
"376",12449,2304,2.97,"tropicana",0
"377",7505,10753,2.13,"tropicana",0
"378",5377,3905,3.37,"tropicana",0
"379",5904,37952,2.34,"minute.maid",1
"380",1102,89150,1.48,"minute.maid",1
"381",650,17151,2.49,"tropicana",0
"382",9810,9216,3.17,"tropicana",0
"383",8701,2881,1.7,"dominicks",0
"384",4157,15616,1.39,"dominicks",1
"385",11292,3264,3.02,"minute.maid",0
"386",6391,7361,2.01,"dominicks",1
"389",4494,4735,1.68,"dominicks",0
"390",1785,100672,1.21,"minute.maid",1
"392",12176,5760,2.95,"tropicana",0
"393",1312,3839,2.12,"minute.maid",0
"394",7541,5694,3.26,"tropicana",0
"395",138,13184,3.05,"tropicana",0
"396",7602,38271,2.5,"tropicana",1
"397",2700,7999,2.47,"minute.maid",0
"400",11911,34560,2.21,"tropicana",1
"404",6854,9279,1.56,"dominicks",0
"405",1479,65536,1.17,"dominicks",1
"407",7992,4799,NA,"dominicks",0
"408",10143,2113,3.07,"tropicana",0
"409",10803,5951,2.34,"tropicana",0
"410",12362,44480,1.54,"dominicks",1
"411",8445,2880,2.88,"tropicana",0
"412",6913,1473,2.68,"dominicks",0
"413",7545,12734,1.34,"dominicks",1
"414",10020,3200,2.64,"minute.maid",0
"417",10350,3841,1.71,"dominicks",1
"418",121,22592,2.57,"tropicana",0
"419",9158,9408,2.79,"tropicana",0
"420",6586,5440,2.66,"minute.maid",0
"421",9565,58752,1.53,"dominicks",0
"423",3337,7553,2.07,"minute.maid",0
"424",11924,2879,2.89,"tropicana",0
"427",9727,2304,2.14,"dominicks",0
"429",3281,1665,3.3,"tropicana",0
"433",9639,92673,1.69,"dominicks",0
"434",6328,51456,1.99,"tropicana",1
"435",10662,27905,3.18,"tropicana",0
"438",3203,49855,2.16,"minute.maid",1
"439",9581,6271,3.23,"tropicana",0
"440",3113,46271,1.65,"dominicks",0
"441",1450,5953,1.82,"dominicks",0
"442",12628,28032,1.02,"minute.maid",0
"443",4491,3073,3.17,"tropicana",0
"444",12711,2626,2.23,"dominicks",0
"446",2851,10431,2.73,"tropicana",0
"447",2007,4864,NA,"tropicana",0
"448",1968,6016,2.25,"minute.maid",0
"450",4977,4863,1.93,"minute.maid",0
"452",293,3648,2.65,"minute.maid",0
"454",3193,7874,2.91,"tropicana",0
"456",3937,1215,2.12,"dominicks",0
"457",658,9730,2.1,"dominicks",1
"458",68,13119,1.63,"dominicks",1
"459",9883,6465,1.99,"dominicks",0
"460",6781,8258,2.46,"tropicana",1
"463",6938,29376,1.83,"dominicks",1
"465",11641,6465,2.65,"dominicks",0
"466",4477,36737,1.99,"tropicana",1
"467",10751,2561,2.45,"minute.maid",0
"468",6627,2560,1.99,"dominicks",0
"470",10516,12416,1.46,"dominicks",0
"472",6401,2879,2.18,"dominicks",0
"473",2883,14081,3.22,"tropicana",1
"475",78,69056,1.51,"dominicks",1
"476",5278,11008,1.47,"dominicks",0
"477",11233,4800,3.72,"tropicana",0
"480",5582,15940,3.42,"tropicana",0
"481",6564,4671,3.34,"tropicana",0
"482",8970,5312,2.32,"minute.maid",0
"484",5975,6144,NA,"dominicks",1
"485",6748,4416,1.55,"dominicks",0
"486",6939,1921,3.58,"tropicana",0
"488",5647,16129,2.22,"tropicana",0
"489",10073,120382,1.87,"minute.maid",1
"491",12463,7552,1.59,"dominicks",0
"493",8602,8833,2.59,"tropicana",0
"494",6610,26368,1.85,"dominicks",1
"496",3481,2367,2.98,"tropicana",0
"497",12788,73537,1.85,"minute.maid",1
"499",3453,9792,2.89,"tropicana",0
"500",10202,1087,NA,"dominicks",1
"501",12281,12225,2.47,"tropicana",0
"502",4137,1665,2.5,"dominicks",0
"503",9665,8895,NA,"minute.maid",1
"504",967,6336,3.11,"tropicana",0
"505",7613,10880,1.75,"minute.maid",0
"506",1825,34048,1.47,"dominicks",0
"508",3871,17536,2.73,"tropicana",0
"509",10102,55871,1.44,"dominicks",1
"510",4682,8448,2.76,"minute.maid",0
"511",2447,19648,3.4,"tropicana",1
"512",6233,6721,1.73,"minute.maid",0
"513",5583,2753,2.31,"minute.maid",0
"514",5607,13888,1.85,"minute.maid",0
"515",1149,4223,2.22,"minute.maid",1
"517",7414,9600,3.39,"tropicana",0
"519",9463,14592,NA,"dominicks",0
"521",2328,2432,2.62,"minute.maid",0
"522",4307,9601,2.76,"tropicana",0
"524",3706,9407,2.43,"minute.maid",0
"525",1341,32064,1.96,"tropicana",1
"526",11074,7679,1.61,"dominicks",0
"528",2970,3328,2.17,"dominicks",0
"529",9742,3073,2.29,"minute.maid",0
"530",6828,5888,2.84,"minute.maid",0
"531",1459,17857,2.56,"minute.maid",1
"533",12705,5057,3,"tropicana",0
"534",2938,60416,1.55,"dominicks",1
"535",269,16961,1.92,"tropicana",0
"536",6998,114367,1.1,"dominicks",1
"538",2491,7807,1.64,"dominicks",0
"539",49,16767,1.87,"dominicks",0
"540",11720,3457,2.27,"minute.maid",0
"542",10789,4159,3.65,"tropicana",0
"543",3317,8961,2.03,"minute.maid",1
"545",5968,30080,1.73,"minute.maid",1
"547",7722,6462,1.93,"minute.maid",0
"548",3572,28352,1.47,"dominicks",0
"549",4465,2880,2.45,"minute.maid",0
"550",10747,6465,1.58,"dominicks",0
"551",5914,22274,2.13,"minute.maid",0
"552",10384,8449,3.12,"tropicana",0
"553",1631,6527,1.75,"minute.maid",0
"555",1467,4608,1.93,"dominicks",0
"556",6115,8959,2.96,"tropicana",0
"557",8583,29761,2.37,"tropicana",1
"558",11076,9728,1.74,"dominicks",0
"559",5496,1983,2.13,"dominicks",0
"560",6154,267521,1.08,"dominicks",1
"561",9345,11519,1.94,"dominicks",0
"562",7951,6911,3.29,"tropicana",0
"565",10672,22592,2.12,"minute.maid",1
"566",7016,11327,2.14,"minute.maid",0
"567",10217,39168,2.06,"tropicana",1
"568",1645,4223,2.61,"minute.maid",0
"569",4355,5185,2.57,"minute.maid",0
"570",8631,13057,1.89,"dominicks",0
"571",11853,10177,1.56,"dominicks",1
"572",6278,6207,1.47,"dominicks",1
"573",7996,16511,1.52,"dominicks",1
"574",6207,5760,3.23,"tropicana",0
"575",1353,12545,2.32,"tropicana",0
"576",12618,3201,2.76,"minute.maid",0
"578",8428,75135,1.63,"minute.maid",1
"579",6462,11647,2.68,"tropicana",1
"580",10226,17984,2.31,"tropicana",0
"584",476,14720,1.64,"dominicks",0
"585",874,7229,2.64,"tropicana",0
"586",9544,2878,1.93,"dominicks",0
"587",10933,5825,1.94,"minute.maid",1
"588",8048,3648,2.65,"minute.maid",0
"589",9194,5823,2,"dominicks",0
"590",1954,13760,1.94,"minute.maid",1
"591",5107,6654,2.27,"minute.maid",0
"592",3333,18242,1.85,"minute.maid",0
"593",2602,5185,2.32,"dominicks",0
"594",8564,9664,2.84,"tropicana",0
"595",5912,7232,1.53,"dominicks",1
"596",7019,2817,2.29,"minute.maid",0
"597",11213,11456,1.96,"tropicana",0
"598",6275,3264,2.11,"minute.maid",0
"599",7245,82624,NA,"dominicks",1
"600",12145,11392,1.71,"minute.maid",0
"601",1303,4288,3.09,"tropicana",0
"604",4198,3393,1.35,"dominicks",0
"605",2758,42560,1.42,"dominicks",1
"606",8882,6208,1.61,"dominicks",0
"608",5167,8256,2.46,"minute.maid",0
"609",7033,11136,2.21,"tropicana",0
"612",9589,58560,2.47,"tropicana",1
"613",6504,3456,2.76,"minute.maid",0
"614",5586,10431,NA,"minute.maid",0
"615",5642,9024,2.1,"dominicks",1
"616",10077,1727,2.44,"dominicks",0
"617",12181,2880,1.61,"dominicks",0
"618",5777,5758,2.09,"minute.maid",0
"619",6531,12673,2.08,"minute.maid",0
"620",7659,4865,1.44,"dominicks",0
"622",2183,3329,3.17,"minute.maid",0
"624",2649,7295,2.15,"minute.maid",0
"625",4366,49665,1.45,"dominicks",1
"626",4914,2495,2.86,"minute.maid",0
"627",9836,17538,3.12,"tropicana",0
"629",9026,6463,3.15,"tropicana",0
"631",1681,5761,3.61,"tropicana",0
"632",10390,53057,1.02,"dominicks",1
"633",9494,2430,1.61,"dominicks",0
"634",6208,9023,2.78,"tropicana",0
"635",833,6145,2.36,"minute.maid",0
"636",8530,10881,3.25,"tropicana",0
"639",3331,2367,1.5,"dominicks",0
"640",7189,16896,1.77,"dominicks",0
"642",8890,21889,1.88,"minute.maid",1
"643",3190,63487,1.49,"dominicks",0
"644",10462,13824,1.93,"tropicana",0
"645",11362,7360,2.09,"dominicks",1
"646",4853,2689,1.88,"dominicks",0
"647",9186,4032,1.93,"minute.maid",0
"648",4905,3584,2.97,"minute.maid",0
"649",12400,14400,2.38,"tropicana",0
"650",10286,16576,1.53,"dominicks",0
"651",634,2560,1.46,"dominicks",0
"652",1048,22655,1.95,"minute.maid",0
"653",2624,10113,3.57,"tropicana",0
"654",11122,8129,2.37,"tropicana",0
"656",6198,2559,2.58,"minute.maid",0
"657",3263,11073,1.58,"dominicks",0
"658",10739,14273,3.22,"minute.maid",0
"659",3065,25664,2.55,"dominicks",1
"660",2054,4352,2.28,"minute.maid",0
"661",12492,49600,2.7,"minute.maid",1
"662",5567,116864,1.82,"tropicana",1
"663",5286,2304,2.52,"minute.maid",0
"664",6894,3840,2.97,"tropicana",0
"666",7312,43327,1.12,"dominicks",1
"667",8474,22207,0.85,"dominicks",0
"668",10154,7489,2.44,"tropicana",0
"670",1706,20672,1.72,"dominicks",0
"671",9212,16257,3.54,"tropicana",0
"672",3747,7872,1.63,"dominicks",1
"673",7498,4992,2.06,"dominicks",1
"675",1839,21825,1.43,"dominicks",0
"676",4200,6400,1.25,"dominicks",0
"677",1331,9343,1.58,"minute.maid",0
"678",10327,11072,2.7,"minute.maid",0
"680",8378,11520,2.11,"minute.maid",0
"685",850,7361,3.16,"tropicana",0
"687",10262,33983,1.97,"minute.maid",1
"689",12135,5887,NA,"dominicks",0
"690",7475,11841,2.73,"minute.maid",0
"691",5999,21567,1.59,"dominicks",1
"692",8571,89665,1.31,"minute.maid",1
"694",4245,4287,1.86,"dominicks",0
"697",8308,14911,1.66,"dominicks",1
"698",12612,6143,2.38,"minute.maid",0
"699",10685,9664,1.66,"dominicks",1
"702",4128,5376,2.24,"minute.maid",0
"703",10798,6081,1.94,"dominicks",0
"704",6613,15489,2.04,"minute.maid",0
"705",3952,14080,2.47,"tropicana",0
"706",12664,5889,1.8,"dominicks",0
"708",6354,7808,3.31,"tropicana",0
"709",267,10305,1.67,"dominicks",1
"710",11586,5697,1.9,"dominicks",0
"711",4915,9535,2.43,"minute.maid",1
"712",366,639,2.4,"dominicks",0
"713",9300,7871,1.79,"dominicks",0
"714",9046,3201,2.86,"minute.maid",0
"715",2989,13633,1.98,"dominicks",0
"716",2191,32704,2.04,"minute.maid",1
"717",5592,25983,2.52,"tropicana",0
"720",10926,28991,1.47,"dominicks",0
"721",8536,8575,2.42,"tropicana",0
"722",6464,30399,1.96,"tropicana",1
"723",2604,13824,1.55,"dominicks",0
"725",5553,17984,1.96,"minute.maid",0
"727",10533,8063,2.77,"tropicana",1
"729",9863,9666,1.75,"dominicks",0
"730",6933,24446,2.45,"tropicana",1
"731",11142,13375,1.84,"minute.maid",0
"734",3966,6272,2.66,"minute.maid",0
"735",2871,36352,2.01,"minute.maid",1
"738",1832,704,2.71,"dominicks",0
"739",6290,2561,2.94,"tropicana",0
"741",10582,63425,1.38,"minute.maid",1
"743",728,2496,3.63,"tropicana",0
"744",5492,77185,2.16,"minute.maid",1
"746",1021,4991,2.46,"dominicks",0
"747",5884,48832,2.01,"tropicana",1
"749",9557,39360,1.48,"dominicks",0
"750",1170,4289,2.17,"minute.maid",0
"751",6963,15039,1.69,"dominicks",0
"752",9333,6272,1.64,"dominicks",0
"753",8600,17856,1.7,"dominicks",1
"754",9830,10048,1.95,"minute.maid",0
"755",573,9409,2.29,"minute.maid",0
"756",3965,9919,3.08,"minute.maid",0
"757",11918,13440,1.54,"dominicks",0
"758",519,8448,1.6,"dominicks",0
"759",1211,30849,2.05,"minute.maid",1
"760",2588,2560,3.57,"tropicana",0
"762",3795,3775,2.75,"tropicana",0
"764",3605,6272,1.89,"minute.maid",0
"765",1655,9151,2.07,"dominicks",0
"766",11197,23552,1.88,"minute.maid",1
"768",8365,38209,1.99,"tropicana",1
"769",7905,3520,3.09,"minute.maid",0
"770",4938,1790,2.43,"dominicks",0
"771",11361,3903,2.32,"tropicana",0
"772",186,8257,2.26,"minute.maid",0
"773",6710,12287,1.09,"dominicks",0
"774",4944,27839,2,"tropicana",0
"775",1193,3905,2.97,"dominicks",0
"776",6321,7743,3.38,"tropicana",0
"777",2064,18113,1.89,"minute.maid",1
"778",7521,23680,1.68,"dominicks",0
"779",466,2879,2.22,"minute.maid",0
"780",3960,13312,NA,"minute.maid",1
"781",4185,3393,2.83,"minute.maid",0
"783",5749,1087,2.67,"dominicks",0
"784",5982,12415,2.29,"tropicana",0
"785",4380,9472,2.87,"tropicana",0
"786",1314,9281,2.56,"tropicana",0
"787",9133,3711,2.87,"minute.maid",1
"788",809,3903,NA,"minute.maid",0
"789",1254,7168,1.74,"dominicks",0
"792",9597,4351,2.57,"minute.maid",0
"794",1099,9471,3.23,"tropicana",1
"795",12426,5376,3.44,"tropicana",0
"796",10421,896,1.57,"dominicks",0
"797",10838,4289,2.98,"tropicana",0
"798",8023,14721,NA,"tropicana",0
"799",6778,23295,1.63,"dominicks",0
"801",4996,448,2.78,"dominicks",0
"802",8446,4607,3,"tropicana",0
"804",8501,11649,2.6,"tropicana",0
"805",4353,3648,1.68,"dominicks",0
"806",7462,7295,2.09,"dominicks",0
"807",11517,2497,2.06,"dominicks",0
"808",5325,1151,2.28,"dominicks",0
"809",275,9792,NA,"minute.maid",1
"810",11637,10560,1.83,"dominicks",0
"811",1745,6783,1.85,"dominicks",0
"812",6288,4289,2.97,"tropicana",0
"813",4805,2754,2.16,"minute.maid",0
"814",1352,7232,2.37,"minute.maid",0
"816",5676,5248,1.58,"dominicks",1
"817",7119,43009,1.92,"tropicana",1
"818",12548,6080,3.19,"tropicana",0
"819",6980,3521,3.05,"minute.maid",0
"821",10120,103103,1.24,"dominicks",1
"824",2036,9853,2.5,"minute.maid",0
"826",9062,6977,3.42,"tropicana",0
"827",1440,3072,NA,"dominicks",0
"828",625,70144,2.01,"minute.maid",1
"829",6355,22080,1.29,"dominicks",0
"830",10308,3710,3.21,"minute.maid",0
"831",7836,2625,2.46,"minute.maid",0
"832",2656,5568,3.85,"tropicana",0
"833",11245,20543,1.54,"dominicks",0
"834",9208,167935,1.36,"minute.maid",1
"835",1533,16001,1.91,"minute.maid",1
"837",7910,21504,2.13,"minute.maid",1
"838",8545,2817,2.87,"minute.maid",0
"840",431,16321,2.17,"minute.maid",0
"841",6921,20414,1.78,"dominicks",0
"843",10655,8960,2.02,"dominicks",0
"845",6102,385,2.76,"dominicks",0
"846",9057,15488,1.74,"dominicks",1
"847",7445,4032,2.51,"minute.maid",0
"848",9660,3392,3.72,"tropicana",0
"849",2363,5055,1.76,"dominicks",0
"850",1013,38015,1.34,"dominicks",1
"851",12194,3394,3.08,"tropicana",0
"853",6607,15681,2.12,"dominicks",0
"854",7967,4734,2.5,"minute.maid",0
"856",4617,5313,2.74,"dominicks",0
"858",4551,6018,2.99,"tropicana",0
"859",2506,14018,2.06,"tropicana",0
"860",6323,15999,2.08,"minute.maid",1
"861",4106,9216,1.6,"dominicks",0
"863",5437,3774,2.72,"minute.maid",0
"864",12337,55552,2.02,"minute.maid",1
"865",7809,22848,1.97,"minute.maid",1
"866",7425,3776,2.97,"tropicana",0
"867",10741,2685,1.98,"dominicks",0
"868",6622,895,3.7,"tropicana",0
"869",1749,3393,3.29,"minute.maid",0
"871",12110,6591,1.6,"dominicks",0
