"","id","price","brand","feat"
"398",8094,1.76,"dominicks",0
"399",8410,1.99,"minute.maid",0
"401",10660,1.77,"dominicks",0
"402",2480,1.66,"dominicks",0
"403",1548,1.91,"minute.maid",0
"406",6008,2.66,"dominicks",0
"415",12581,3.36,"tropicana",0
"416",8024,2.2,"minute.maid",0
"422",6797,2.89,"minute.maid",0
"425",1484,1.58,"minute.maid",1
"426",4023,1.97,"tropicana",0
"428",8154,2.21,"dominicks",0
"430",548,2.81,"tropicana",0
"431",3357,1.99,"minute.maid",0
"432",6372,NA,"tropicana",1
"436",3872,2.06,"minute.maid",0
"437",297,2.02,"dominicks",0
"445",3908,1.27,"dominicks",0
"449",61,2.05,"tropicana",0
"451",8893,1.97,"minute.maid",1
"453",11051,2.84,"tropicana",0
"455",7266,2.63,"minute.maid",0
"461",2009,1.25,"dominicks",0
"462",1941,2.89,"tropicana",1
"464",167,2.52,"minute.maid",0
"469",4413,2.73,"tropicana",1
"471",7931,1.93,"tropicana",0
"474",4870,1.39,"dominicks",1
"478",7759,2.3,"minute.maid",0
"479",4849,2.59,"minute.maid",1
"483",7319,NA,"tropicana",0
"487",8370,2.94,"tropicana",0
"490",5580,NA,"minute.maid",1
"492",8621,2.76,"minute.maid",1
"495",11437,3.16,"tropicana",0
"498",4470,1.63,"dominicks",1
"507",7520,NA,"minute.maid",0
"516",12859,2.05,"minute.maid",0
"518",3148,1.5,"dominicks",0
"520",11083,2.48,"minute.maid",1
"523",3654,1.75,"minute.maid",0
"527",10479,1.61,"minute.maid",1
"532",12057,1.71,"dominicks",0
"537",3298,1.65,"tropicana",0
"541",11940,1.52,"dominicks",1
"544",3829,1.49,"dominicks",1
"546",9475,2.91,"tropicana",1
"554",2497,2.02,"minute.maid",1
"563",5283,NA,"minute.maid",0
"564",2250,2.1,"minute.maid",0
"577",10225,1.95,"dominicks",0
"581",9652,1.98,"minute.maid",0
"582",1959,1.34,"dominicks",0
"583",1717,2.59,"minute.maid",0
"602",12243,3.06,"tropicana",0
"603",10234,1.32,"dominicks",0
"607",5239,2.48,"tropicana",0
"610",9713,1.53,"dominicks",1
"611",2303,1.76,"dominicks",0
"621",9040,1.87,"tropicana",1
"623",3528,3.09,"tropicana",0
"628",974,1.74,"dominicks",0
"630",1250,4.01,"tropicana",0
"637",1423,1.69,"minute.maid",1
"638",6405,2.62,"tropicana",0
"641",10093,2.19,"tropicana",0
"655",645,1.86,"dominicks",1
"665",9555,3.51,"tropicana",0
"669",6549,2.05,"dominicks",0
"674",5028,2.15,"minute.maid",1
"679",10905,2.09,"minute.maid",0
"681",8880,3.87,"tropicana",0
"682",10378,NA,"tropicana",1
"683",8289,2.86,"tropicana",0
"684",11874,NA,"tropicana",0
"686",1680,1.51,"dominicks",1
"688",10068,NA,"dominicks",0
"693",11418,1.61,"dominicks",0
"695",7056,2,"dominicks",1
"696",5699,2.02,"minute.maid",1
"700",44,1.93,"minute.maid",0
"701",1524,1.87,"minute.maid",1
"707",2726,3.2,"tropicana",0
"718",4344,NA,"tropicana",1
"719",12068,2.27,"minute.maid",0
"724",1566,2.67,"minute.maid",1
"726",6637,1.91,"minute.maid",0
"728",8950,2.45,"minute.maid",0
"732",5314,2.73,"dominicks",0
"733",8254,1.61,"dominicks",1
"736",3123,1.95,"minute.maid",0
"737",4813,2.57,"dominicks",0
"740",11891,3.12,"tropicana",0
"742",2971,NA,"tropicana",1
"745",3575,2.01,"minute.maid",1
"748",2488,NA,"dominicks",0
"761",1218,2.26,"minute.maid",0
"763",4560,1.58,"dominicks",0
"767",10342,2.52,"dominicks",0
"782",2569,2.39,"tropicana",1
"790",7069,1.42,"dominicks",1
"791",4965,2.22,"minute.maid",1
"793",1273,1.5,"dominicks",1
"800",9192,2.31,"minute.maid",1
"803",2781,3.1,"tropicana",0
"815",739,NA,"minute.maid",1
"820",6120,2.09,"dominicks",0
"822",10005,1.83,"minute.maid",0
"823",12319,1.3,"minute.maid",1
"825",549,3.88,"tropicana",0
"836",7081,1.71,"dominicks",0
"839",3670,2.09,"minute.maid",1
"842",4707,2.56,"tropicana",0
"844",6402,3.28,"minute.maid",0
"852",3493,1.65,"tropicana",0
"855",1247,1.95,"tropicana",1
"857",11372,2.68,"dominicks",0
"862",6896,3.79,"tropicana",1
"870",2601,2.65,"tropicana",0
"874",9105,2.33,"minute.maid",0
"892",9718,2.66,"tropicana",1
"893",9624,3.02,"tropicana",0
"905",9533,2.77,"minute.maid",0
"907",10515,3.25,"minute.maid",0
"915",12633,2.4,"minute.maid",0
"920",3868,1.82,"dominicks",0
"928",456,1.71,"dominicks",0
"930",3675,NA,"minute.maid",0
"939",2754,2.65,"minute.maid",0
"947",12285,2.69,"minute.maid",1
"958",3787,2.5,"tropicana",0
"965",10532,2.16,"minute.maid",1
"972",12896,2.5,"minute.maid",0
"973",8053,2.4,"minute.maid",0
"976",12886,1.59,"dominicks",0
"979",4197,2.51,"tropicana",0
"981",14,3.06,"tropicana",0
"991",7334,2.48,"dominicks",0
"996",11515,2.5,"minute.maid",0
"1004",9656,1.99,"minute.maid",0
"1005",6064,2.44,"minute.maid",1
"1006",11252,2.84,"tropicana",0
"1007",12072,1.91,"minute.maid",0
"1009",7590,1.21,"dominicks",1
"1012",8525,3.14,"minute.maid",0
"1016",9585,3.08,"tropicana",0
"1019",12023,1.46,"dominicks",0
"1026",8696,1.95,"tropicana",0
"1030",3127,NA,"dominicks",0
"1037",11790,1.1,"dominicks",1
"1044",4054,3.14,"tropicana",0
"1045",819,2.79,"minute.maid",0
"1047",4332,2.32,"minute.maid",0
"1048",9152,1.7,"dominicks",0
"1052",4692,2.33,"minute.maid",0
"1053",6447,2.52,"minute.maid",0
"1060",2422,NA,"dominicks",1
"1065",7736,2.73,"tropicana",0
"1066",6672,2.9,"tropicana",0
"1070",12877,1.57,"dominicks",0
"1080",1405,2.01,"dominicks",1
"1089",4571,3.35,"tropicana",0
"1093",7763,3.02,"tropicana",0
"1103",1642,2.72,"minute.maid",0
"1113",3075,NA,"tropicana",0
"1118",7811,2.43,"minute.maid",0
"1126",11117,2.48,"tropicana",1
"1129",7293,1.92,"dominicks",0
"1135",2406,2.43,"minute.maid",0
"1141",5732,2.42,"minute.maid",0
"1145",7668,1.73,"dominicks",0
"1154",2473,3.42,"tropicana",0
"1155",7169,2.18,"dominicks",0
"1156",9844,1.53,"minute.maid",0
"1157",5405,1.98,"dominicks",0
"1168",527,NA,"tropicana",0
"1171",11753,1.66,"dominicks",0
"1181",6846,2.29,"dominicks",0
"1182",6522,1.6,"dominicks",0
"1183",9675,1.97,"tropicana",0
"1184",2545,3.67,"tropicana",0
"1189",2142,2.16,"minute.maid",0
"1193",11951,2.28,"dominicks",0
"1196",3080,3.44,"tropicana",0
"1201",9354,1.39,"dominicks",1
"1204",3595,2.23,"tropicana",0
"1211",9094,1.53,"minute.maid",0
"1218",6884,2.31,"dominicks",0
"1221",10795,1.41,"dominicks",0
"1222",6194,2.43,"minute.maid",0
"1228",12725,1.91,"dominicks",0
"1229",12283,2.51,"minute.maid",0
"1238",10310,NA,"minute.maid",1
"1239",4048,3.04,"tropicana",0
"1242",7812,1.33,"dominicks",1
"1244",1786,1.93,"tropicana",0
"1247",12914,3.09,"tropicana",0
"1252",7267,1.94,"minute.maid",1
"1254",6484,1.94,"minute.maid",0
"1257",687,2.38,"dominicks",0
"1263",9048,3.46,"tropicana",0
"1266",12069,1.09,"dominicks",1
"1278",3230,2.01,"minute.maid",1
"1281",4601,1.89,"dominicks",0
"1285",3543,1.55,"dominicks",0
"1286",6140,2.69,"dominicks",0
"1289",4865,1.72,"minute.maid",1
"1291",8755,1.96,"dominicks",0
"1297",6132,NA,"tropicana",0
"1302",7408,2.41,"dominicks",0
"1305",2831,2.09,"minute.maid",1
"1308",9138,2.55,"tropicana",0
"1310",12559,2.03,"minute.maid",1
"1312",6276,2.75,"minute.maid",0
"1314",1833,2.17,"minute.maid",0
"1316",7756,1.3,"dominicks",0
"1317",12904,2.86,"tropicana",0
"1320",1197,2.6,"dominicks",0
"1325",7632,3.16,"tropicana",0
"1326",7645,3.31,"minute.maid",0
"1331",5448,3.06,"minute.maid",0
"1334",11467,2.79,"tropicana",0
"1335",5371,1.82,"minute.maid",0
"1339",8719,3.37,"minute.maid",0
"1341",11755,1.37,"minute.maid",1
"1342",7208,1.97,"dominicks",0
"1348",6080,2.01,"minute.maid",0
"1351",2155,1.99,"minute.maid",1
"1352",10235,2.23,"minute.maid",0
"1355",603,3.05,"tropicana",0
"1356",462,2.94,"tropicana",0
"1359",10975,2.29,"dominicks",0
"1362",3444,2.76,"minute.maid",0
"1366",4747,1.91,"dominicks",0
"1367",7917,1.42,"dominicks",1
"1368",5952,2.52,"dominicks",0
"1370",10387,3.18,"tropicana",1
"1371",8561,2.64,"tropicana",0
"1376",4532,3.52,"tropicana",0
"1379",11169,NA,"tropicana",0
"1382",2922,2.51,"minute.maid",1
"1383",2662,2.91,"tropicana",0
"1392",5456,2.24,"dominicks",0
"1395",7646,1.41,"dominicks",0
"1396",1490,3.45,"tropicana",0
"1399",7761,2.18,"dominicks",0
"1402",12584,NA,"tropicana",1
"1407",11946,1.78,"tropicana",1
"1410",4059,1.59,"dominicks",1
"1412",1429,2.04,"dominicks",0
"1424",8743,2.51,"tropicana",0
"1431",927,3.48,"tropicana",0
"1437",1496,2.05,"minute.maid",0
"1441",3417,1.86,"dominicks",0
"1447",10424,2.5,"minute.maid",0
"1448",3122,2.83,"tropicana",0
"1455",11283,1.66,"dominicks",0
"1460",3518,2.12,"dominicks",0
"1461",6735,1.81,"tropicana",0
"1469",9305,1.55,"dominicks",0
"1470",4603,2.39,"minute.maid",0
"1471",6479,1.71,"dominicks",0
"1473",12906,2.17,"minute.maid",1
"1481",5234,3.94,"tropicana",0
"1482",1854,1.48,"dominicks",1
"1487",9693,1.78,"dominicks",0
"1489",8216,2.74,"minute.maid",0
"1492",1563,2.72,"tropicana",0
"1497",8010,2.83,"minute.maid",0
"1505",8818,0.77,"dominicks",1
"1511",12428,2.74,"minute.maid",0
"1512",4282,2.56,"minute.maid",1
"1515",12103,1.61,"minute.maid",0
"1531",4840,2.49,"minute.maid",1
"1532",7135,1.56,"dominicks",1
"1535",11435,3.05,"tropicana",1
"1538",9647,3.05,"tropicana",0
"1539",3857,2.02,"minute.maid",0
"1547",3738,3.08,"minute.maid",0
"1562",11403,NA,"tropicana",1
"1563",1398,2.95,"minute.maid",0
"1565",3891,1.49,"dominicks",0
"1566",3036,2.15,"minute.maid",1
"1569",8849,1.99,"tropicana",0
"1571",8668,2.48,"tropicana",0
"1573",4381,NA,"dominicks",0
"1582",153,1.92,"dominicks",0
"1596",8734,2.76,"tropicana",1
"1599",3368,2.45,"tropicana",0
"1607",8211,0.92,"dominicks",1
"1608",8953,1.91,"minute.maid",0
"1611",3696,3.3,"tropicana",0
"1620",10459,2.06,"tropicana",1
"1622",4452,1.72,"tropicana",1
"1623",1944,1.53,"dominicks",0
"1624",12347,1.94,"minute.maid",0
"1626",958,1.85,"minute.maid",0
"1632",5362,2.93,"tropicana",0
"1634",6657,2.37,"minute.maid",0
"1638",12335,1.63,"dominicks",0
"1641",5522,3.08,"tropicana",0
"1645",6274,3.36,"tropicana",0
"1646",11575,2.16,"minute.maid",0
"1654",2826,2.04,"dominicks",0
"1656",8140,1.48,"dominicks",0
"1659",10240,3.28,"tropicana",0
"1660",11502,NA,"minute.maid",1
"1667",697,2.9,"tropicana",0
"1672",11844,2.42,"tropicana",0
"1683",3859,2.67,"minute.maid",0
"1687",12114,1.77,"dominicks",0
"1689",8420,3.33,"tropicana",0
"1692",793,2.91,"minute.maid",0
"1694",10343,1.7,"minute.maid",0
"1702",9379,2.38,"tropicana",1
"1708",7005,2.3,"dominicks",0
"1720",746,2.91,"minute.maid",0
"1721",8317,1.66,"minute.maid",0
"1725",11272,1.65,"dominicks",1
"1726",12369,2.03,"tropicana",0
"1735",338,2.04,"dominicks",1
"1743",161,1.96,"minute.maid",0
"1745",11027,1.97,"minute.maid",1
"1749",4336,2.97,"tropicana",0
"1751",9204,1.79,"dominicks",1
"1769",2428,2.65,"minute.maid",0
"1775",8230,3.57,"tropicana",0
"1777",5200,1.88,"dominicks",1
"1780",5812,1.99,"minute.maid",0
"1786",2788,2.47,"minute.maid",1
"1787",12310,1.62,"dominicks",1
"1793",3799,1.98,"dominicks",0
"1796",42,NA,"dominicks",1
"1797",6346,3.11,"tropicana",0
"1801",3170,2.41,"tropicana",0
"1808",769,1.51,"dominicks",0
"1811",7152,1.81,"dominicks",0
"1815",3473,1.36,"dominicks",1
"1817",5461,2.03,"minute.maid",0
"1819",904,1.52,"dominicks",0
"1822",722,2.93,"tropicana",0
"1823",6155,2.12,"minute.maid",1
"1827",3438,2.14,"minute.maid",0
"1831",11139,2.78,"tropicana",0
"1837",8529,2.18,"tropicana",0
"1838",11619,3.21,"tropicana",0
"1841",5653,2.18,"minute.maid",0
"1844",9383,1.77,"tropicana",1
"1852",7870,2.35,"minute.maid",0
"1854",772,3.09,"tropicana",0
"1855",509,2.87,"tropicana",0
"1856",1401,1.55,"dominicks",1
"1859",8711,2.59,"dominicks",1
"1866",12073,1.69,"dominicks",0
"1867",5459,3.55,"tropicana",0
"1873",7888,1.41,"dominicks",0
"1880",3441,3.05,"tropicana",0
"1883",3064,3.22,"tropicana",0
"1884",9530,1.63,"minute.maid",1
"1891",4184,3.06,"tropicana",0
"1893",2213,1.89,"dominicks",1
"1895",5506,1.49,"minute.maid",0
"1908",9283,1.97,"minute.maid",0
"1914",1922,1.75,"minute.maid",0
"1916",10180,1.37,"minute.maid",1
"1919",6638,1.83,"dominicks",0
"1923",1411,2.02,"dominicks",0
"1927",8599,1.16,"dominicks",0
"1932",7608,1.96,"minute.maid",1
"1934",12046,0.86,"dominicks",1
"1936",3622,2.36,"minute.maid",1
"1939",9449,1.35,"dominicks",1
"1946",5112,2.92,"minute.maid",0
"1949",11331,1.58,"dominicks",0
"1952",12866,1.48,"dominicks",0
"1953",512,NA,"tropicana",1
"1959",3491,3.1,"tropicana",0
"1964",11608,1.82,"minute.maid",0
"1966",925,3.34,"tropicana",0
"1967",5276,2.13,"dominicks",0
"1968",1996,1.59,"dominicks",1
"1969",11384,2.01,"tropicana",0
"1976",5806,2.5,"tropicana",0
"1977",11312,1.65,"dominicks",0
"1978",9203,3.49,"tropicana",0
"1979",6439,1.9,"minute.maid",0
"1982",6779,1.69,"dominicks",1
"1987",11411,3.35,"tropicana",0
"1989",11130,2.68,"minute.maid",0
"1994",3437,1.71,"dominicks",1
"2000",9809,1.45,"dominicks",0
"2009",9182,1.8,"minute.maid",1
"2015",1033,1.69,"dominicks",0
"2022",3478,2.9,"minute.maid",0
"2023",1155,2.27,"minute.maid",1
"2025",7167,2.27,"minute.maid",0
"2031",11605,1.98,"minute.maid",0
"2032",6996,1.22,"dominicks",1
"2038",259,1.84,"dominicks",0
"2041",12447,2.92,"tropicana",0
"2043",7863,3.22,"tropicana",0
"2048",3601,2.13,"minute.maid",0
"2050",6055,1.89,"dominicks",0
"2051",8386,2.53,"minute.maid",0
"2052",261,1.78,"dominicks",0
"2057",2323,3.24,"minute.maid",0
"2058",5380,3.05,"tropicana",0
"2061",324,1.84,"minute.maid",0
"2064",5784,2.36,"tropicana",1
"2066",807,1.64,"minute.maid",0
"2071",590,2.34,"tropicana",0
"2072",8467,2.9,"tropicana",0
"2074",291,2,"minute.maid",1
"2075",1831,2.41,"tropicana",0
"2077",6142,2.21,"minute.maid",0
"2084",1636,1.48,"minute.maid",1
"2092",10267,2.14,"minute.maid",1
"2097",6882,1.88,"minute.maid",0
"2101",9344,0.94,"dominicks",1
"2104",11674,2.96,"tropicana",0
"2105",12148,1.84,"minute.maid",0
"2106",485,3.58,"tropicana",0
"2111",3674,1.43,"dominicks",1
"2122",10455,2.63,"tropicana",0
"2128",602,2.25,"minute.maid",0
"2134",12211,NA,"tropicana",0
"2142",8114,3,"tropicana",0
"2146",5067,1.95,"tropicana",0
"2151",10359,1.36,"dominicks",1
"2153",114,2.77,"dominicks",0
"2159",6252,1.53,"dominicks",0
"2162",8095,2.83,"minute.maid",0
"2165",9508,1.7,"minute.maid",1
"2168",905,2.91,"tropicana",0
"2174",12538,2.23,"tropicana",0
"2176",215,NA,"tropicana",1
"2177",5716,1.06,"dominicks",0
"2181",3052,1.75,"dominicks",0
"2186",827,2.12,"dominicks",0
"2196",6906,3.43,"minute.maid",0
"2199",3583,4.11,"tropicana",0
"2202",10422,2.44,"minute.maid",0
"2204",11353,1.95,"minute.maid",1
"2207",4677,2.41,"minute.maid",0
"2211",1507,1.77,"minute.maid",0
"2212",7821,1.34,"dominicks",0
"2213",9415,2.43,"minute.maid",0
"2214",1159,1.86,"minute.maid",1
"2221",11338,2.6,"minute.maid",0
"2223",4002,1.74,"minute.maid",1
"2224",10988,3.54,"tropicana",0
"2227",347,2.68,"dominicks",0
"2237",4003,1.71,"tropicana",0
"2240",1469,1.62,"dominicks",0
"2247",5691,2.49,"tropicana",0
"2248",12716,1.73,"dominicks",0
"2258",6178,2.35,"minute.maid",0
"2261",5198,1.48,"dominicks",1
"2262",11343,NA,"minute.maid",0
"2263",3339,1.93,"dominicks",0
"2268",3078,3.45,"tropicana",0
"2269",9872,2.46,"tropicana",1
"2272",4083,1.48,"dominicks",0
"2280",6783,1.82,"minute.maid",0
"2281",8388,2.75,"dominicks",0
"2286",12667,1.92,"minute.maid",1
"2290",9255,2.36,"minute.maid",1
"2293",10486,2.04,"minute.maid",1
"2301",5821,1.72,"dominicks",1
"2302",3208,3.37,"minute.maid",0
"2303",6893,1.65,"dominicks",0
"2305",2395,1.1,"dominicks",1
"2314",6072,1.59,"minute.maid",0
"2322",2364,2.5,"minute.maid",0
"2326",9730,2.33,"minute.maid",0
"2330",5359,2.15,"minute.maid",0
"2331",700,1.91,"minute.maid",0
"2332",12882,1.53,"dominicks",1
"2335",7937,1.83,"tropicana",1
"2340",1008,1.45,"dominicks",0
"2342",7143,2.14,"dominicks",0
"2344",12365,1.82,"dominicks",0
"2345",11687,1.42,"minute.maid",1
"2347",11967,2.76,"minute.maid",0
"2348",8823,2.36,"minute.maid",0
"2352",11678,1.72,"dominicks",0
"2363",1488,1.19,"dominicks",0
"2366",3426,1.4,"dominicks",0
"2375",2722,3.21,"tropicana",0
"2382",9090,2.19,"minute.maid",0
"2393",4261,2.81,"minute.maid",0
"2401",1305,1.99,"tropicana",1
"2402",11482,2.84,"tropicana",0
"2407",10774,2.01,"dominicks",0
"2427",10956,1.11,"dominicks",1
"2430",12925,1.88,"minute.maid",0
"2431",837,1.54,"dominicks",1
"2434",9881,2.21,"minute.maid",0
"2435",4735,2.26,"dominicks",0
"2437",6228,1.31,"dominicks",1
"2442",6961,3.19,"tropicana",0
"2445",10078,2.69,"minute.maid",0
"2446",8740,3.02,"tropicana",0
"2447",10276,1.44,"dominicks",0
"2454",6645,2.54,"minute.maid",0
"2458",3749,3.25,"tropicana",0
"2464",3660,2.36,"tropicana",0
"2467",9430,1.82,"dominicks",0
"2473",11862,2.23,"tropicana",1
"2477",10491,NA,"tropicana",0
"2478",263,1.42,"dominicks",0
"2480",4976,3.52,"tropicana",0
"2481",885,1.49,"dominicks",1
"2486",7390,2.66,"dominicks",0
"2487",1945,1.96,"tropicana",0
"2489",492,2.54,"dominicks",0
"2491",10923,3.87,"tropicana",0
"2492",1320,2.64,"minute.maid",0
"2495",10323,0.93,"dominicks",1
"2496",12611,2.08,"minute.maid",0
"2497",11008,3.11,"tropicana",0
"2501",9779,3.06,"tropicana",0
"2502",3310,1.51,"dominicks",0
"2503",4119,NA,"minute.maid",0
"2504",11748,2.05,"minute.maid",0
"2505",10585,3.37,"tropicana",0
"2506",11390,1.98,"minute.maid",1
"2509",10917,2.98,"tropicana",0
"2511",7000,2.04,"minute.maid",1
"2526",7578,NA,"dominicks",0
"2533",12038,2.08,"minute.maid",0
"2539",2429,1.99,"minute.maid",0
"2540",6394,2.75,"tropicana",0
"2547",5600,1.92,"minute.maid",0
"2548",1640,3.08,"tropicana",0
"2551",1847,1.64,"dominicks",0
"2554",951,2.97,"tropicana",0
"2559",4322,NA,"dominicks",1
"2560",5779,1.58,"dominicks",0
"2561",12549,1.47,"dominicks",0
"2566",391,2.24,"minute.maid",0
"2568",4004,2.97,"tropicana",0
"2570",7298,2.8,"tropicana",0
"2573",691,3.57,"tropicana",0
"2577",11377,1.4,"dominicks",0
"2580",8332,3.92,"tropicana",0
"2582",7594,NA,"minute.maid",1
"2583",2393,2.42,"minute.maid",0
"2584",6357,1.94,"tropicana",1
"2585",1750,1.83,"tropicana",0
"2595",12332,2.08,"dominicks",0
"2608",3031,1.58,"dominicks",0
"2609",1154,3.21,"tropicana",0
"2610",5285,2.93,"tropicana",0
"2612",2620,2.35,"tropicana",0
"2615",3671,3.85,"tropicana",0
"2618",718,2.09,"minute.maid",0
"2619",9185,1.69,"minute.maid",0
"2620",526,1.92,"tropicana",1
"2624",8565,1.28,"dominicks",1
"2639",6017,2.51,"minute.maid",0
"2643",7277,NA,"tropicana",0
"2644",6420,2.84,"minute.maid",0
"2646",6157,2.74,"minute.maid",1
"2647",12542,2.02,"dominicks",0
"2654",8394,3.72,"tropicana",0
"2658",421,1.95,"tropicana",0
"2660",5681,2.3,"dominicks",0
"2661",817,1.48,"dominicks",0
"2663",5660,3.16,"tropicana",0
"2666",12314,1.89,"minute.maid",1
"2667",11092,1.82,"dominicks",0
"2669",1997,1.75,"minute.maid",0
"2672",6922,1.56,"dominicks",1
"2676",5229,1.9,"dominicks",0
"2678",2482,1.99,"minute.maid",0
"2682",10279,3.59,"tropicana",0
"2683",4174,1.61,"dominicks",0
"2684",3418,1.94,"tropicana",1
"2686",5799,2.98,"minute.maid",0
"2690",2059,3.48,"tropicana",0
"2695",2805,1.54,"dominicks",0
"2696",5573,3.16,"tropicana",0
"2698",424,3.69,"tropicana",0
"2700",8082,2.81,"minute.maid",0
"2706",6654,1.24,"dominicks",0
"2709",2530,1.65,"dominicks",0
"2715",8366,2.55,"minute.maid",0
"2716",12081,2.05,"minute.maid",0
"2722",2872,1.58,"dominicks",0
"2726",7427,1.65,"dominicks",0
"2738",8245,3.03,"tropicana",0
"2743",4020,3.09,"minute.maid",0
"2744",3389,2.42,"minute.maid",0
"2746",7941,1.96,"minute.maid",0
"2747",2748,2.95,"tropicana",0
"2750",2438,1.53,"dominicks",0
"2757",12471,NA,"minute.maid",0
"2759",3763,1.85,"minute.maid",0
"2762",2984,2.24,"dominicks",0
"2764",5556,3.38,"tropicana",1
"2766",3596,1.86,"tropicana",0
"2768",3111,2.03,"minute.maid",0
"2773",8298,1.18,"minute.maid",1
"2774",6133,1.41,"dominicks",1
"2781",7076,1.94,"dominicks",0
"2782",10919,2.49,"minute.maid",0
"2791",1210,3.37,"tropicana",0
"2792",9512,2.12,"dominicks",0
"2796",1131,1.77,"tropicana",1
"2799",8007,3.53,"tropicana",0
"2800",8450,NA,"tropicana",0
"2807",2114,1.49,"dominicks",0
"2809",3556,3.49,"tropicana",0
"2842",5736,1.74,"dominicks",0
"2846",10407,2.2,"minute.maid",1
"2849",767,1.93,"tropicana",0
"2851",6501,1.79,"dominicks",1
"2863",4223,1.35,"dominicks",0
"2864",12858,1.36,"dominicks",1
"2867",1973,2.45,"tropicana",1
"2870",1593,2.17,"dominicks",0
"2872",8089,3.06,"tropicana",0
"2878",2801,1.54,"dominicks",0
"2881",5985,2.07,"dominicks",1
"2886",3869,1.44,"dominicks",0
"2889",7610,2,"minute.maid",1
"2895",1909,2.06,"tropicana",0
"2897",10162,1.46,"minute.maid",0
"2901",5102,2.76,"tropicana",0
"2914",7934,2.58,"tropicana",0
"2920",8567,NA,"tropicana",0
"2921",2859,3.19,"tropicana",0
"2925",1806,1.76,"minute.maid",1
"2926",8046,2.4,"minute.maid",0
"2928",8429,3.02,"tropicana",0
"2936",9707,2.7,"tropicana",0
"2940",761,2.98,"minute.maid",0
"2943",4354,1.95,"minute.maid",0
"2952",3661,1.54,"dominicks",0
"2953",5330,1.53,"dominicks",1
"2959",6367,1.37,"dominicks",0
"2960",7354,1.93,"tropicana",1
"2969",7794,2.25,"minute.maid",0
"2977",10192,1.95,"minute.maid",0
"2978",3555,2.69,"tropicana",0
"2991",5288,1.93,"dominicks",0
