"","sex","age","address","famsize","Pstatus","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G3"
"286",0,19,0,1,0,1,2,0,1,1,0,0,0,0,0,1,1,0,3,4,1,1,1,3,3,11
"43",0,15,0,1,0,4,4,0,1,0,0,1,0,1,1,1,1,0,3,2,2,0,0,4,2,18
"245",0,18,0,1,0,4,2,0,1,0,0,1,1,1,1,1,1,1,4,3,4,0,2,4,10,10
"20",0,16,0,0,0,4,3,0,0,0,0,0,1,1,1,1,1,0,2,0,2,0,2,4,4,10
"316",0,18,1,1,0,3,2,1,0,1,0,1,0,0,0,1,1,0,1,4,4,4,4,4,10,13
"341",1,18,1,1,0,1,1,3,2,0,0,0,0,0,1,1,1,0,3,2,1,0,1,3,2,10
"343",1,18,1,0,0,4,4,0,1,0,0,0,1,1,1,1,1,0,4,3,2,2,3,1,4,10
"102",0,16,0,1,0,4,4,0,2,0,0,1,0,1,1,1,1,1,3,3,2,0,0,3,0,17
"213",0,17,1,1,0,2,2,1,1,0,0,1,1,1,1,1,1,0,3,4,1,0,0,0,4,11
"256",0,17,0,0,1,4,1,1,0,0,0,0,1,1,1,1,1,1,3,4,3,1,3,4,30,8
"332",0,18,1,1,0,1,3,1,1,0,0,1,1,0,1,1,0,0,2,2,3,1,3,2,4,10
"61",1,16,1,1,0,4,4,0,1,0,0,1,0,1,1,1,0,0,1,3,3,1,2,3,6,11
"277",1,17,0,1,0,4,2,1,2,0,0,1,1,0,1,1,1,0,3,2,2,0,0,2,0,14
"288",1,19,0,1,0,1,1,0,2,2,0,0,0,0,0,1,1,1,3,0,1,0,0,2,14,13
"176",0,16,1,1,0,3,3,0,0,0,0,1,0,1,1,1,1,0,3,2,1,2,3,4,8,10
"234",0,17,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,3,3,3,0,1,4,2,8
"219",1,16,0,1,0,2,1,0,0,0,0,0,0,0,1,1,1,1,3,4,1,0,0,4,20,12
"230",0,16,0,1,0,3,3,2,1,0,1,1,0,0,0,1,1,0,4,2,2,0,2,1,6,10
"264",0,18,0,1,0,2,1,0,2,0,0,0,1,1,1,1,1,0,3,1,3,0,2,1,6,14
"124",0,16,0,1,0,4,4,0,0,0,0,1,0,1,1,1,1,0,2,3,3,0,3,4,18,13
"7",0,16,0,0,0,2,2,0,1,0,0,0,0,0,1,1,1,0,3,3,3,0,0,2,0,11
"293",1,17,0,1,1,4,3,0,1,0,0,1,1,0,1,1,1,1,4,1,1,0,1,4,23,13
"186",1,17,1,1,0,2,2,0,0,0,0,1,0,0,1,1,1,0,4,2,1,0,1,2,18,6
"14",0,15,0,1,0,4,3,1,1,0,0,1,1,0,1,1,1,0,4,3,2,0,1,2,2,11
"80",1,16,0,1,0,3,4,0,1,0,0,1,0,0,1,1,1,0,1,3,2,0,1,2,12,5
"185",1,17,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,3,3,3,0,2,0,4,10
"193",1,19,0,1,0,3,3,0,3,0,0,1,1,1,1,1,1,0,3,2,2,0,1,2,10,8
"290",1,18,0,1,0,4,3,0,2,0,0,1,1,1,1,1,1,1,3,2,3,0,0,4,9,9
"203",1,17,1,1,0,2,1,1,1,0,0,1,0,1,1,1,1,0,3,1,4,0,1,4,2,6
"120",0,15,0,1,0,3,4,0,0,0,0,0,0,0,1,1,1,0,2,3,2,0,1,3,6,13
"24",0,16,0,0,0,2,2,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,4,0,12
"145",1,18,1,1,0,1,1,2,0,3,0,1,0,1,0,1,0,0,4,1,4,0,4,3,6,10
"46",1,15,0,0,1,4,3,0,1,0,1,1,1,1,1,1,1,1,4,1,1,0,0,4,8,6
"315",1,17,0,1,0,4,3,0,2,0,0,1,1,1,1,1,1,1,3,3,2,0,2,3,0,15
"153",1,16,0,1,0,4,2,0,1,0,0,0,1,0,1,1,1,1,3,1,2,0,0,2,0,16
"1",1,18,0,1,1,4,4,1,1,0,1,0,0,0,1,1,0,0,3,2,3,0,0,2,6,6
"26",1,16,0,1,0,2,2,0,0,2,0,1,1,0,0,1,1,0,0,1,1,0,2,4,14,8
"301",1,17,0,1,0,4,4,0,2,0,0,1,1,1,1,1,1,0,4,3,3,0,2,3,7,9
"163",0,16,0,1,0,4,3,0,1,0,0,1,1,1,1,1,1,0,2,3,2,1,2,2,10,8
"347",0,18,1,1,0,2,1,1,0,0,0,0,0,1,0,1,1,1,3,3,2,0,2,4,5,7
"92",1,15,0,1,0,4,3,0,0,0,0,0,1,1,1,1,1,0,3,4,4,0,2,0,4,18
"336",1,19,0,0,0,3,2,1,1,2,0,0,0,1,1,1,0,1,2,1,1,0,0,2,4,9
"29",0,16,0,0,1,3,4,0,1,0,1,1,0,1,1,1,1,0,4,2,2,0,0,4,4,11
"21",0,15,0,1,0,4,3,0,1,0,0,0,0,0,1,1,1,0,3,3,0,0,0,0,0,15
"49",0,15,0,1,0,4,2,0,1,0,0,1,1,0,1,1,0,0,3,2,2,1,1,4,2,14
"63",1,16,0,0,0,1,2,0,1,0,1,0,0,1,1,1,1,0,3,3,2,0,0,0,4,9
"23",0,16,0,0,0,4,2,0,1,0,0,0,0,1,1,1,1,0,3,4,0,0,2,4,2,16
"324",1,17,0,0,1,3,2,1,1,0,0,0,0,0,1,1,0,1,0,1,2,0,1,4,2,11
"51",1,16,0,0,0,2,2,2,1,0,0,1,1,0,1,1,1,0,3,2,2,1,2,3,2,13
"147",0,16,0,1,0,3,3,0,1,1,0,1,1,0,1,1,1,1,3,4,4,3,3,4,4,12
"76",0,15,0,1,0,4,3,0,1,0,0,1,1,1,1,1,1,0,3,2,2,1,2,4,6,10
"305",1,17,0,1,0,3,4,0,2,0,0,0,0,0,1,1,1,0,3,3,4,0,2,4,16,15
"220",1,17,1,1,0,2,1,2,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,2,11
"302",1,17,0,1,0,4,4,1,2,0,0,1,1,0,0,1,1,1,3,2,2,0,1,3,4,14
"50",1,15,0,1,0,4,4,0,1,1,1,1,0,1,0,1,1,0,3,3,3,0,0,2,2,7
"33",0,15,1,1,0,4,3,0,1,0,0,1,0,1,1,1,1,1,3,4,1,0,0,4,0,16
"310",0,18,0,0,0,3,4,0,1,0,0,0,0,1,1,1,1,1,3,2,2,0,2,4,11,15
"236",0,19,0,0,1,4,3,0,1,0,0,1,0,0,1,1,1,0,3,2,0,0,0,0,12,11
"53",0,15,0,0,1,4,2,1,0,1,0,0,0,0,1,1,0,0,4,4,4,2,3,4,6,10
"225",0,17,0,1,0,2,3,1,0,0,0,0,0,0,1,1,1,0,4,1,1,0,0,1,4,13
"237",0,18,0,1,0,2,1,0,1,0,0,0,0,1,1,1,1,0,4,1,3,0,1,3,8,14
"183",1,16,0,1,0,4,3,0,1,0,0,1,0,1,1,1,1,0,3,2,4,0,4,1,2,16
"208",1,17,0,1,0,3,2,0,1,0,0,0,0,1,0,1,1,0,4,2,3,0,2,2,10,15
"247",1,18,0,1,0,2,3,0,3,0,0,1,1,1,1,1,1,1,3,4,4,0,2,1,4,14
"222",0,17,1,0,1,4,4,1,1,0,0,1,1,0,1,1,1,0,2,2,2,1,2,3,2,12
"67",0,15,0,1,1,4,4,0,3,0,0,1,0,1,0,1,1,1,0,2,2,4,4,2,4,12
"251",1,17,0,0,0,2,2,1,1,0,1,1,1,0,1,1,1,1,3,3,3,1,2,4,6,12
"278",1,17,0,1,0,3,2,0,3,0,0,1,1,1,0,1,1,0,4,1,1,0,1,4,0,18
"111",0,15,0,0,1,4,4,0,0,0,0,0,0,1,1,1,1,0,4,4,2,0,0,3,6,19
"100",1,16,0,1,0,4,3,0,2,0,1,1,1,0,1,1,1,0,4,2,4,0,0,2,0,8
"356",0,18,1,0,0,3,2,2,0,0,0,0,0,0,0,1,1,0,3,3,0,2,3,4,0,10
"156",0,17,0,0,0,4,4,0,1,0,0,1,1,1,1,1,1,0,3,3,3,0,2,4,0,10
"280",1,18,0,1,0,2,4,0,1,1,0,1,1,1,1,1,1,0,3,3,2,0,0,2,8,12
"166",1,17,0,0,0,3,3,0,1,0,0,1,0,1,1,1,1,1,4,2,2,1,2,0,56,8
"134",0,16,0,0,0,2,2,1,0,2,0,1,0,1,1,1,1,0,1,2,2,1,1,1,8,9
"218",0,17,0,0,0,2,2,0,1,0,0,0,1,1,0,1,1,1,3,3,1,4,4,3,4,13
"307",1,18,0,0,0,3,3,0,3,0,0,1,0,0,1,1,1,0,4,2,2,0,0,0,7,17
"172",0,17,1,1,0,1,2,0,1,0,0,0,0,0,1,1,0,0,2,0,2,0,4,2,4,10
"32",0,15,0,1,0,4,4,1,1,0,0,1,0,1,1,1,1,0,3,2,0,0,0,4,0,17
"66",1,16,0,0,0,4,3,2,1,0,0,1,0,1,1,1,1,0,4,3,2,0,1,0,2,15
"283",0,19,1,1,0,3,3,0,1,1,0,0,0,1,1,1,0,1,3,4,2,0,1,4,0,12
"281",0,20,0,1,1,3,2,0,0,0,0,0,0,1,1,1,0,0,4,4,2,0,0,4,0,18
"5",1,16,0,1,0,3,3,0,1,0,0,1,1,0,1,1,0,0,3,2,1,0,1,4,4,10
"52",1,15,0,0,0,4,2,0,1,0,0,1,1,0,1,1,1,0,3,2,2,0,0,4,2,13
"201",1,17,0,1,0,2,3,1,0,0,0,1,1,0,1,1,0,0,2,2,2,0,3,2,3,8
"90",0,16,0,0,1,4,4,0,1,0,0,1,0,0,1,1,0,0,3,0,2,2,4,4,18,7
"274",0,18,0,0,0,4,4,0,0,0,0,1,1,0,1,1,1,1,0,3,1,1,1,0,5,16
"299",0,17,0,1,0,3,3,0,0,0,0,0,0,1,0,1,1,0,3,2,4,2,4,4,3,16
"162",0,17,0,1,0,4,3,0,1,0,0,1,0,1,1,1,1,1,4,1,2,0,0,1,4,11
"353",0,20,0,0,1,2,2,0,1,2,0,1,1,0,1,1,0,0,4,4,3,3,4,3,11,9
"357",0,19,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,2,1,2,2,2,4,5,9
"113",1,16,0,1,0,2,2,0,1,1,1,0,0,1,1,1,1,0,2,0,1,0,0,4,6,13
"89",0,16,0,1,0,2,2,1,1,1,0,0,1,1,0,1,1,0,3,3,1,0,0,2,12,10
"202",1,17,0,1,0,2,2,0,2,0,0,1,1,1,1,1,1,0,3,2,2,0,0,3,4,10
"199",1,17,0,1,0,4,3,0,1,2,0,0,1,0,1,1,1,1,2,3,4,1,3,0,22,4
"205",0,18,0,1,0,2,2,1,1,0,0,1,1,0,1,1,1,0,2,2,2,4,4,3,0,13
"17",1,16,0,1,0,4,4,0,2,0,0,1,1,1,1,1,1,0,2,1,2,0,1,1,6,14
"273",1,18,0,1,0,4,3,0,3,0,0,1,1,0,1,1,1,0,3,2,2,0,0,2,0,14
"57",1,15,0,1,1,4,3,0,1,0,0,1,1,1,1,1,1,0,3,2,1,0,0,0,0,15
"211",1,17,0,1,1,2,1,1,2,0,0,0,0,1,1,1,1,1,2,1,2,0,1,2,10,12
"137",1,15,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,3,3,1,0,1,4,0,11
"6",0,16,0,0,0,4,3,0,1,0,0,1,1,1,1,1,1,0,4,3,1,0,1,4,10,15
"143",0,15,1,1,0,2,3,0,1,0,1,0,1,1,1,1,0,0,3,3,3,0,0,0,2,8
"86",1,15,0,1,0,4,4,1,1,2,0,0,1,0,1,1,1,1,3,3,3,1,2,4,6,8
"289",1,19,1,1,0,2,3,0,2,1,0,0,0,0,1,1,1,1,3,0,1,0,0,2,40,11
"152",0,16,0,1,0,2,2,0,1,0,0,0,0,0,1,0,1,0,3,2,4,1,3,3,4,10
"269",1,17,1,0,0,3,1,1,3,0,0,1,1,0,1,1,0,0,2,0,1,0,0,2,6,18
"39",1,15,1,1,0,3,4,0,2,0,1,1,1,1,1,1,1,0,3,2,1,0,0,4,2,11
"258",1,18,1,0,0,1,1,1,3,0,0,1,1,1,1,1,0,0,4,1,1,0,0,2,1,12
"188",1,17,0,1,0,3,4,0,2,1,0,1,1,0,1,1,1,1,3,3,2,2,3,4,28,9
"327",1,18,1,0,1,1,4,2,1,0,0,0,0,0,1,1,0,1,3,2,3,0,3,4,0,13
"345",1,17,1,1,0,3,1,0,1,0,0,1,1,1,0,1,1,0,3,4,3,1,2,0,17,10
"161",0,16,1,1,0,4,2,0,0,0,0,1,0,1,1,1,1,1,3,2,2,2,3,2,10,9
