"","member","state","party"
"92","CRENSHAW (R FL-4)","FL","R"
"93","BROWN-WAI (R FL-5)","FL","R"
"94","STEARNS (R FL-6)","FL","R"
"95","MICA (R FL-7)","FL","R"
"96","GRAYSON (D FL-8)","FL","D"
"97","BILIRAKI (R FL-9)","FL","R"
"98","YOUNG (R FL-10)","FL","R"
"99","CASTOR (D FL-11)","FL","D"
"100","PUTNAM (R FL-12)","FL","R"
"101","BUCHANAN (R FL-13)","FL","R"
"102","MACK (R FL-14)","FL","R"
"103","POSEY (R FL-15)","FL","R"
"104","ROONEY (R FL-16)","FL","R"
"105","MEEK (D FL-17)","FL","D"
"106","ROS-LEHT (R FL-18)","FL","R"
"107","WEXLER (D FL-19)","FL","D"
"108","DEUTCH (D FL-19)","FL","D"
"109","WASSERMA (D FL-20)","FL","D"
"110","DIAZ-BAL (R FL-21)","FL","R"
"111","KLEIN (D FL-22)","FL","D"
"112","HASTINGS (D FL-23)","FL","D"
"113","KOSMAS (D FL-24)","FL","D"
"114","DIAZ-BALA (R FL-25)","FL","R"
"115","KINGSTON (R GA-1)","GA","R"
"116","BISHOP (D GA-2)","GA","D"
"117","WESTMORE (R GA-3)","GA","R"
"118","JOHNSON (D GA-4)","GA","D"
"119","LEWIS (D GA-5)","GA","D"
"120","PRICE (R GA-6)","GA","R"
"121","LINDER (R GA-7)","GA","R"
"122","MARSHALL (D GA-8)","GA","D"
"123","DEAL (R GA-9)","GA","R"
"124","GRAVES (R GA-9)","GA","R"
"125","BROUN (R GA-10)","GA","R"
"126","GINGREY (R GA-11)","GA","R"
"127","BARROW (D GA-12)","GA","D"
"128","SCOTT (D GA-13)","GA","D"
"129","ABERCROM (D HI-1)","HI","D"
"130","DJOU (R HI-1)","HI","R"
"131","HIRONO (D HI-2)","HI","D"
"132","MINNICK (D ID-1)","ID","D"
"133","SIMPSON (R ID-2)","ID","R"
"134","RUSH (D IL-1)","IL","D"
"135","JACKSON (D IL-2)","IL","D"
"136","LIPINSKI (D IL-3)","IL","D"
"137","GUTIERRE (D IL-4)","IL","D"
"138","QUIGLEY (D IL-5)","IL","D"
"139","ROSKAM (R IL-6)","IL","R"
"140","DAVIS (D IL-7)","IL","D"
"141","BEAN (D IL-8)","IL","D"
"142","SCHAKOWS (D IL-9)","IL","D"
"143","KIRK (R IL-10)","IL","R"
"144","HALVORSON (D IL-11)","IL","D"
"145","COSTELLO (D IL-12)","IL","D"
"146","BIGGERT (R IL-13)","IL","R"
"147","FOSTER (D IL-14)","IL","D"
"148","JOHNSON (R IL-15)","IL","R"
"149","MANZULLO (R IL-16)","IL","R"
"150","HARE (D IL-17)","IL","D"
"151","SCHOCK (R IL-18)","IL","R"
"152","SHIMKUS (R IL-19)","IL","R"
"153","VISCLOSK (D IN-1)","IN","D"
"154","DONNELLY (D IN-2)","IN","D"
"155","SOUDER (R IN-3)","IN","R"
"156","STUTZMAN (R IN-3)","IN","R"
"157","BUYER (R IN-4)","IN","R"
"158","BURTON (R IN-5)","IN","R"
"159","PENCE (R IN-6)","IN","R"
"160","CARSON (D IN-7)","IN","D"
"161","ELLSWORTH (D IN-8)","IN","D"
"162","HILL (D IN-9)","IN","D"
"163","BRALEY (D IA-1)","IA","D"
"164","LOEBSACK (D IA-2)","IA","D"
"165","BOSWELL (D IA-3)","IA","D"
"166","LATHAM (R IA-4)","IA","R"
"167","KING (R IA-5)","IA","R"
"168","MORAN (R KS-1)","KS","R"
"169","JENKINS (R KS-2)","KS","R"
"170","MOORE (D KS-3)","KS","D"
"171","TIAHRT (R KS-4)","KS","R"
"172","WHITFIEL (R KY-1)","KY","R"
"173","GUTHRIE (R KY-2)","KY","R"
"174","YARMUTH (D KY-3)","KY","D"
"175","DAVIS (R KY-4)","KY","R"
"176","ROGERS (R KY-5)","KY","R"
"177","CHANDLER (D KY-6)","KY","D"
"178","SCALISE (R LA-1)","LA","R"
"179","CAO (R LA-2)","LA","R"
"180","MELANCON (D LA-3)","LA","D"
"181","FLEMING (R LA-4)","LA","R"
"182","ALEXANDER (R LA-5)","LA","R"
"183","CASSIDY (R LA-6)","LA","R"
"184","BOUSTANY (R LA-7)","LA","R"
"185","PINGREE (D ME-1)","ME","D"
"186","MICHAUD (D ME-2)","ME","D"
"187","KRATOVIL (D MD-1)","MD","D"
"188","RUPPERSBE (D MD-2)","MD","D"
"189","SARBANES (D MD-3)","MD","D"
"190","EDWARDS (D MD-4)","MD","D"
"191","HOYER (D MD-5)","MD","D"
"192","BARTLETT (R MD-6)","MD","R"
"193","CUMMINGS (D MD-7)","MD","D"
"194","VAN (D MD-8)","MD","D"
"195","OLVER (D MA-1)","MA","D"
"196","NEAL (D MA-2)","MA","D"
"197","MCGOVERN (D MA-3)","MA","D"
"198","FRANK (D MA-4)","MA","D"
"199","TSONGAS (D MA-5)","MA","D"
"200","TIERNEY (D MA-6)","MA","D"
"201","MARKEY (D MA-7)","MA","D"
"202","CAPUANO (D MA-8)","MA","D"
"203","LYNCH (D MA-9)","MA","D"
"204","DELAHUNT (D MA-10)","MA","D"
"205","STUPAK (D MI-1)","MI","D"
"206","HOEKSTRA (R MI-2)","MI","R"
"207","EHLERS (R MI-3)","MI","R"
"208","CAMP (R MI-4)","MI","R"
"209","KILDEE (D MI-5)","MI","D"
"210","UPTON (R MI-6)","MI","R"
"211","SCHAUER (D MI-7)","MI","D"
"212","ROGERS (R MI-8)","MI","R"
"213","PETERS (D MI-9)","MI","D"
"214","MILLER (R MI-10)","MI","R"
"215","MCCOTTER (R MI-11)","MI","R"
"216","LEVIN (D MI-12)","MI","D"
"217","KILPATRI (D MI-13)","MI","D"
"218","CONYERS (D MI-14)","MI","D"
"219","DINGELL (D MI-15)","MI","D"
"220","WALZ (D MN-1)","MN","D"
"221","KLINE (R MN-2)","MN","R"
"222","PAULSEN (R MN-3)","MN","R"
"223","MCCOLLUM (D MN-4)","MN","D"
"224","ELLISON (D MN-5)","MN","D"
"225","BACHMANN (R MN-6)","MN","R"
"226","PETERSON (D MN-7)","MN","D"
"227","OBERSTAR (D MN-8)","MN","D"
"228","CHILDERS (D MS-1)","MS","D"
"229","THOMPSON (D MS-2)","MS","D"
"230","HARPER (R MS-3)","MS","R"
"231","TAYLOR (D MS-4)","MS","D"
"232","CLAY (D MO-1)","MO","D"
"233","AKIN (R MO-2)","MO","R"
"234","CARNAHAN (D MO-3)","MO","D"
"235","SKELTON (D MO-4)","MO","D"
"236","CLEAVER (D MO-5)","MO","D"
"237","GRAVES (R MO-6)","MO","R"
"238","BLUNT (R MO-7)","MO","R"
"239","EMERSON (R MO-8)","MO","R"
"240","LUETKEMEYER (R MO-9)","MO","R"
"241","REHBERG (R MT-1)","MT","R"
"242","FORTENBE (R NE-1)","NE","R"
"243","TERRY (R NE-2)","NE","R"
"244","SMITH (R NE-3)","NE","R"
"245","BERKLEY (D NV-1)","NV","D"
"246","HELLER (R NV-2)","NV","R"
"247","TITUS (D NV-3)","NV","D"
"248","SHEA-PORTER (D NH-1)","NH","D"
"249","HODES (D NH-2)","NH","D"
"250","ANDREWS (D NJ-1)","NJ","D"
"251","LOBIONDO (R NJ-2)","NJ","R"
"252","ADLER (D NJ-3)","NJ","D"
"253","SMITH (R NJ-4)","NJ","R"
"254","GARRETT (R NJ-5)","NJ","R"
"255","PALLONE (D NJ-6)","NJ","D"
"256","LANCE (R NJ-7)","NJ","R"
"257","PASCRELL (D NJ-8)","NJ","D"
"258","ROTHMAN (D NJ-9)","NJ","D"
"259","PAYNE (D NJ-10)","NJ","D"
"260","FRELINGH (R NJ-11)","NJ","R"
"261","HOLT (D NJ-12)","NJ","D"
"262","SIRES (D NJ-13)","NJ","D"
"263","HEINRICH (D NM-1)","NM","D"
"264","TEAGUE (D NM-2)","NM","D"
"265","LUJAN (D NM-3)","NM","D"
"266","BISHOP (D NY-1)","NY","D"
"267","ISRAEL (D NY-2)","NY","D"
"268","KING (R NY-3)","NY","R"
"269","MCCARTHY (D NY-4)","NY","D"
"270","ACKERMAN (D NY-5)","NY","D"
"271","MEEKS (D NY-6)","NY","D"
"272","CROWLEY (D NY-7)","NY","D"
"273","NADLER (D NY-8)","NY","D"
"274","WEINER (D NY-9)","NY","D"
"275","TOWNS (D NY-10)","NY","D"
"276","CLARKE (D NY-11)","NY","D"
"277","VELAZQUE (D NY-12)","NY","D"
"278","MCMAHON (D NY-13)","NY","D"
"279","MALONEY (D NY-14)","NY","D"
"280","RANGEL (D NY-15)","NY","D"
"281","SERRANO (D NY-16)","NY","D"
"282","ENGEL (D NY-17)","NY","D"
"283","LOWEY (D NY-18)","NY","D"
"284","HALL (D NY-19)","NY","D"
"285","GILLIBRAND (D NY-20)","NY","D"
"286","MURPHY (D NY-20)","NY","D"
"287","TONKO (D NY-21)","NY","D"
"288","HINCHEY (D NY-22)","NY","D"
"289","MCHUGH (R NY-23)","NY","R"
"290","OWENS (D NY-23)","NY","D"
"291","ARCURI (D NY-24)","NY","D"
"292","MAFFEI (D NY-25)","NY","D"
"293","LEE (R NY-26)","NY","R"
"294","HIGGINS (D NY-27)","NY","D"
"295","SLAUGHTE (D NY-28)","NY","D"
"296","MASSA (D NY-29)","NY","D"
"297","REED (R NY-29)","NY","R"
"298","BUTTERFI (D NC-1)","NC","D"
"299","ETHERIDG (D NC-2)","NC","D"
"300","JONES (R NC-3)","NC","R"
"301","PRICE (D NC-4)","NC","D"
"302","FOXX (R NC-5)","NC","R"
"303","COBLE (R NC-6)","NC","R"
"304","MCINTYRE (D NC-7)","NC","D"
"305","KISSELL (D NC-8)","NC","D"
"306","MYRICK (R NC-9)","NC","R"
"307","MCHENRY (R NC-10)","NC","R"
"308","SHULER (D NC-11)","NC","D"
"309","WATT (D NC-12)","NC","D"
"310","MILLER (D NC-13)","NC","D"
"311","POMEROY (D ND-1)","ND","D"
"312","DRIEHAUS (D OH-1)","OH","D"
"313","SCHMIDT (R OH-2)","OH","R"
"314","TURNER (R OH-3)","OH","R"
"315","JORDAN (R OH-4)","OH","R"
"316","LATTA (R OH-5)","OH","R"
"317","WILSON (D OH-6)","OH","D"
"318","AUSTRIA (R OH-7)","OH","R"
"319","BOEHNER (R OH-8)","OH","R"
"320","KAPTUR (D OH-9)","OH","D"
"321","KUCINICH (D OH-10)","OH","D"
"322","FUDGE (D OH-11)","OH","D"
"323","TIBERI (R OH-12)","OH","R"
"324","SUTTON (D OH-13)","OH","D"
"325","LATOURET (R OH-14)","OH","R"
"326","KILROY (D OH-15)","OH","D"
"327","BOCCIERI (D OH-16)","OH","D"
"328","RYAN (D OH-17)","OH","D"
"329","SPACE (D OH-18)","OH","D"
"330","SULLIVAN (R OK-1)","OK","R"
"331","BOREN (D OK-2)","OK","D"
"332","LUCAS (R OK-3)","OK","R"
"333","COLE (R OK-4)","OK","R"
"334","FALLIN (R OK-5)","OK","R"
"335","WU (D OR-1)","OR","D"
"336","WALDEN (R OR-2)","OR","R"
"337","BLUMENAU (D OR-3)","OR","D"
"338","DEFAZIO (D OR-4)","OR","D"
"339","SCHRADER (D OR-5)","OR","D"
"340","BRADY (D PA-1)","PA","D"
"341","FATTAH (D PA-2)","PA","D"
"342","DAHLKEMPER (D PA-3)","PA","D"
"343","ALTMIRE (D PA-4)","PA","D"
"344","THOMPSON (R PA-5)","PA","R"
"345","GERLACH (R PA-6)","PA","R"
"346","SESTAK (D PA-7)","PA","D"
"347","MURPHY (D PA-8)","PA","D"
"348","SHUSTER (R PA-9)","PA","R"
"349","CARNEY (D PA-10)","PA","D"
"350","KANJORSK (D PA-11)","PA","D"
"351","MURTHA (D PA-12)","PA","D"
"352","CRITZ (D PA-12)","PA","D"
"353","SCHWARTZ (D PA-13)","PA","D"
"354","DOYLE (D PA-14)","PA","D"
"355","DENT (R PA-15)","PA","R"
"356","PITTS (R PA-16)","PA","R"
"357","HOLDEN (D PA-17)","PA","D"
"358","MURPHY (R PA-18)","PA","R"
"359","PLATTS (R PA-19)","PA","R"
"360","KENNEDY (D RI-1)","RI","D"
"361","LANGEVIN (D RI-2)","RI","D"
"362","BROWN (R SC-1)","SC","R"
"363","WILSON (R SC-2)","SC","R"
"364","BARRETT (R SC-3)","SC","R"
"365","INGLIS (R SC-4)","SC","R"
"366","SPRATT (D SC-5)","SC","D"
"367","CLYBURN (D SC-6)","SC","D"
"368","HERSETH (D SD-1)","SD","D"
"369","ROE (R TN-1)","TN","R"
"370","DUNCAN (R TN-2)","TN","R"
"371","WAMP (R TN-3)","TN","R"
"372","DAVIS (D TN-4)","TN","D"
"373","COOPER (D TN-5)","TN","D"
"374","GORDON (D TN-6)","TN","D"
"375","BLACKBURN (R TN-7)","TN","R"
"376","TANNER (D TN-8)","TN","D"
"377","COHEN (D TN-9)","TN","D"
"378","GOHMERT (R TX-1)","TX","R"
"379","POE (R TX-2)","TX","R"
"380","JOHNSON (R TX-3)","TX","R"
"381","HALL (R TX-4)","TX","R"
"382","HENSARLIN (R TX-5)","TX","R"
"383","BARTON (R TX-6)","TX","R"
"384","CULBERSO (R TX-7)","TX","R"
"385","BRADY (R TX-8)","TX","R"
"386","GREEN (D TX-9)","TX","D"
"387","MCCAUL (R TX-10)","TX","R"
"388","CONAWAY (R TX-11)","TX","R"
"389","GRANGER (R TX-12)","TX","R"
"390","THORNBER (R TX-13)","TX","R"
"391","PAUL (R TX-14)","TX","R"
"392","HINOJOSA (D TX-15)","TX","D"
"393","REYES (D TX-16)","TX","D"
"394","EDWARDS (D TX-17)","TX","D"
"395","JACKSON- (D TX-18)","TX","D"
"396","NEUGEBAUE (R TX-19)","TX","R"
"397","GONZALEZ (D TX-20)","TX","D"
"398","SMITH (R TX-21)","TX","R"
"399","OLSON (R TX-22)","TX","R"
"400","RODRIGUEZ (D TX-23)","TX","D"
"401","MARCHANT (R TX-24)","TX","R"
"402","DOGGETT (D TX-25)","TX","D"
"403","BURGESS (R TX-26)","TX","R"
"404","ORTIZ (D TX-27)","TX","D"
"405","CUELLAR (D TX-28)","TX","D"
"406","GREEN (D TX-29)","TX","D"
"407","JOHNSON (D TX-30)","TX","D"
"408","CARTER (R TX-31)","TX","R"
"409","SESSIONS (R TX-32)","TX","R"
"410","BISHOP (R UT-1)","UT","R"
"411","MATHESON (D UT-2)","UT","D"
"412","CHAFFETZ (R UT-3)","UT","R"
"413","WELCH (D VT-1)","VT","D"
"414","WITTMAN (R VA-1)","VA","R"
"415","NYE (D VA-2)","VA","D"
"416","SCOTT (D VA-3)","VA","D"
"417","FORBES (R VA-4)","VA","R"
"418","PERRIELLO (D VA-5)","VA","D"
"419","GOODLATT (R VA-6)","VA","R"
"420","CANTOR (R VA-7)","VA","R"
"421","MORAN (D VA-8)","VA","D"
"422","BOUCHER (D VA-9)","VA","D"
"423","WOLF (R VA-10)","VA","R"
"424","CONNOLLY (D VA-11)","VA","D"
"425","INSLEE (D WA-1)","WA","D"
"426","LARSEN (D WA-2)","WA","D"
"427","BAIRD (D WA-3)","WA","D"
"428","HASTINGS (R WA-4)","WA","R"
"429","MCMORRIS (R WA-5)","WA","R"
"430","DICKS (D WA-6)","WA","D"
"431","MCDERMOT (D WA-7)","WA","D"
"432","REICHERT (R WA-8)","WA","R"
"433","SMITH (D WA-9)","WA","D"
"434","MOLLOHAN (D WV-1)","WV","D"
"435","CAPITO (R WV-2)","WV","R"
"436","RAHALL (D WV-3)","WV","D"
"437","RYAN (R WI-1)","WI","R"
"438","BALDWIN (D WI-2)","WI","D"
"439","KIND (D WI-3)","WI","D"
"440","MOORE (D WI-4)","WI","D"
"441","SENSENBR (R WI-5)","WI","R"
"442","PETRI (R WI-6)","WI","R"
"443","OBEY (D WI-7)","WI","D"
"444","KAGEN (D WI-8)","WI","D"
"445","LUMMIS (R WY-1)","WY","R"
